,0,1,2,3,4,5,6,7,8,9,10,11,12
0,"['Task done on time_2', 'Work accepted by others_2', 'Positive tone_1', 'Initiate conversations_1', 'Help others_2', 'Completes more tasks_1', 'Assigns tasks_1', 'Review work from others_1', 'Initiate meeting_1']","['Task done on time_2', 'Work accepted by others_2', 'Positive tone_1', 'Initiate conversations_1', 'Help others_2', 'Completes more tasks_1', 'Assigns tasks_0', 'Review work from others_2', 'Initiate meeting_1']","['Task done on time_2', 'Work accepted by others_2', 'Positive tone_0', 'Initiate conversations_1', 'Help others_2', 'Completes more tasks_1', 'Assigns tasks_1', 'Review work from others_2', 'Initiate meeting_1']","['Task done on time_2', 'Work accepted by others_2', 'Positive tone_1', 'Initiate conversations_1', 'Help others_2', 'Completes more tasks_1', 'Assigns tasks_1', 'Review work from others_2', 'Initiate meeting_1']","['Task done on time_1', 'Work accepted by others_1', 'Positive tone_1', 'Initiate conversations_0', 'Help others_1', 'Completes more tasks_1', 'Assigns tasks_1', 'Review work from others_1', 'Initiate meeting_1']","['Task done on time_2', 'Work accepted by others_2', 'Positive tone_2', 'Initiate conversations_1', 'Help others_2', 'Completes more tasks_1', 'Assigns tasks_0', 'Review work from others_0', 'Initiate meeting_1']","['Task done on time_1', 'Work accepted by others_1', 'Positive tone_0', 'Initiate conversations_0', 'Help others_2', 'Completes more tasks_1', 'Assigns tasks_1', 'Review work from others_1', 'Initiate meeting_1']","['Task done on time_1', 'Work accepted by others_1', 'Positive tone_2', 'Initiate conversations_1', 'Help others_2', 'Completes more tasks_1', 'Assigns tasks_1', 'Review work from others_2', 'Initiate meeting_1']","['Task done on time_2', 'Work accepted by others_2', 'Positive tone_1', 'Initiate conversations_1', 'Help others_1', 'Completes more tasks_1', 'Assigns tasks_1', 'Review work from others_2', 'Initiate meeting_1']","['Task done on time_2', 'Work accepted by others_2', 'Positive tone_2', 'Initiate conversations_1', 'Help others_2', 'Completes more tasks_1', 'Assigns tasks_1', 'Review work from others_2', 'Initiate meeting_1']","['Task done on time_2', 'Work accepted by others_1', 'Positive tone_0', 'Initiate conversations_1', 'Help others_2', 'Completes more tasks_1', 'Assigns tasks_1', 'Review work from others_1', 'Initiate meeting_1']","['Task done on time_1', 'Work accepted by others_2', 'Positive tone_1', 'Initiate conversations_1', 'Help others_2', 'Completes more tasks_1', 'Assigns tasks_1', 'Review work from others_0', 'Initiate meeting_1']","['Task done on time_2', 'Work accepted by others_2', 'Positive tone_2', 'Initiate conversations_1', 'Help others_2', 'Completes more tasks_1', 'Assigns tasks_1', 'Review work from others_2', 'Initiate meeting_1']"
1,"['Task done on time_1', 'Work accepted by others_2', 'Positive tone_0', 'Initiate conversations_1', 'Help others_1', 'Completes more tasks_1', 'Assigns tasks_1', 'Review work from others_1', 'Initiate meeting_1']","['Task done on time_2', 'Work accepted by others_2', 'Positive tone_1', 'Initiate conversations_0', 'Help others_2', 'Completes more tasks_1', 'Assigns tasks_1', 'Review work from others_1', 'Initiate meeting_1']","['Task done on time_2', 'Work accepted by others_2', 'Positive tone_1', 'Initiate conversations_1', 'Help others_2', 'Completes more tasks_1', 'Assigns tasks_1', 'Review work from others_2', 'Initiate meeting_1']","['Task done on time_1', 'Work accepted by others_1', 'Positive tone_2', 'Initiate conversations_1', 'Help others_1', 'Completes more tasks_1', 'Assigns tasks_1', 'Review work from others_1', 'Initiate meeting_1']","['Task done on time_2', 'Work accepted by others_2', 'Positive tone_2', 'Initiate conversations_1', 'Help others_2', 'Completes more tasks_1', 'Assigns tasks_1', 'Review work from others_1', 'Initiate meeting_1']","['Task done on time_2', 'Work accepted by others_2', 'Positive tone_1', 'Initiate conversations_0', 'Help others_2', 'Completes more tasks_1', 'Assigns tasks_1', 'Review work from others_2', 'Initiate meeting_1']","['Task done on time_1', 'Work accepted by others_2', 'Positive tone_1', 'Initiate conversations_1', 'Help others_1', 'Completes more tasks_1', 'Assigns tasks_1', 'Review work from others_2', 'Initiate meeting_1']","['Task done on time_1', 'Work accepted by others_1', 'Positive tone_0', 'Initiate conversations_0', 'Help others_2', 'Completes more tasks_1', 'Assigns tasks_1', 'Review work from others_0', 'Initiate meeting_1']","['Task done on time_1', 'Work accepted by others_1', 'Positive tone_1', 'Initiate conversations_1', 'Help others_2', 'Completes more tasks_1', 'Assigns tasks_1', 'Review work from others_1', 'Initiate meeting_1']","['Task done on time_2', 'Work accepted by others_2', 'Positive tone_2', 'Initiate conversations_1', 'Help others_2', 'Completes more tasks_1', 'Assigns tasks_1', 'Review work from others_1', 'Initiate meeting_1']","['Task done on time_1', 'Work accepted by others_1', 'Positive tone_1', 'Initiate conversations_0', 'Help others_2', 'Completes more tasks_1', 'Assigns tasks_1', 'Review work from others_2', 'Initiate meeting_1']","['Task done on time_2', 'Work accepted by others_2', 'Positive tone_1', 'Initiate conversations_1', 'Help others_2', 'Completes more tasks_1', 'Assigns tasks_1', 'Review work from others_2', 'Initiate meeting_1']","['Task done on time_1', 'Work accepted by others_1', 'Positive tone_1', 'Initiate conversations_1', 'Help others_0', 'Completes more tasks_1', 'Assigns tasks_1', 'Review work from others_2', 'Initiate meeting_1']"
2,"['Task done on time_1', 'Work accepted by others_1', 'Positive tone_1', 'Initiate conversations_1', 'Help others_2', 'Completes more tasks_1', 'Assigns tasks_1', 'Review work from others_2', 'Initiate meeting_1']","['Task done on time_2', 'Work accepted by others_2', 'Positive tone_1', 'Initiate conversations_0', 'Help others_2', 'Completes more tasks_1', 'Assigns tasks_1', 'Review work from others_2', 'Initiate meeting_1']","['Task done on time_2', 'Work accepted by others_2', 'Positive tone_2', 'Initiate conversations_1', 'Help others_2', 'Completes more tasks_1', 'Assigns tasks_1', 'Review work from others_2', 'Initiate meeting_1']","['Task done on time_2', 'Work accepted by others_2', 'Positive tone_1', 'Initiate conversations_1', 'Help others_2', 'Completes more tasks_1', 'Assigns tasks_1', 'Review work from others_1', 'Initiate meeting_1']","['Task done on time_1', 'Work accepted by others_1', 'Positive tone_1', 'Initiate conversations_1', 'Help others_2', 'Completes more tasks_1', 'Assigns tasks_1', 'Review work from others_0', 'Initiate meeting_1']","['Task done on time_1', 'Work accepted by others_1', 'Positive tone_2', 'Initiate conversations_1', 'Help others_1', 'Completes more tasks_1', 'Assigns tasks_1', 'Review work from others_1', 'Initiate meeting_1']","['Task done on time_2', 'Work accepted by others_2', 'Positive tone_2', 'Initiate conversations_1', 'Help others_2', 'Completes more tasks_1', 'Assigns tasks_1', 'Review work from others_2', 'Initiate meeting_1']","['Task done on time_1', 'Work accepted by others_1', 'Positive tone_1', 'Initiate conversations_1', 'Help others_2', 'Completes more tasks_1', 'Assigns tasks_0', 'Review work from others_2', 'Initiate meeting_1']","['Task done on time_2', 'Work accepted by others_2', 'Positive tone_2', 'Initiate conversations_1', 'Help others_2', 'Completes more tasks_1', 'Assigns tasks_1', 'Review work from others_2', 'Initiate meeting_1']","['Task done on time_1', 'Work accepted by others_1', 'Positive tone_0', 'Initiate conversations_1', 'Help others_2', 'Completes more tasks_1', 'Assigns tasks_1', 'Review work from others_1', 'Initiate meeting_1']","['Task done on time_1', 'Work accepted by others_1', 'Positive tone_2', 'Initiate conversations_1', 'Help others_2', 'Completes more tasks_1', 'Assigns tasks_1', 'Review work from others_1', 'Initiate meeting_1']","['Task done on time_1', 'Work accepted by others_1', 'Positive tone_1', 'Initiate conversations_1', 'Help others_2', 'Completes more tasks_1', 'Assigns tasks_1', 'Review work from others_2', 'Initiate meeting_1']","['Task done on time_1', 'Work accepted by others_1', 'Positive tone_1', 'Initiate conversations_1', 'Help others_0', 'Completes more tasks_1', 'Assigns tasks_1', 'Review work from others_2', 'Initiate meeting_1']"
3,"['Task done on time_1', 'Work accepted by others_1', 'Positive tone_1', 'Initiate conversations_1', 'Help others_2', 'Completes more tasks_1', 'Assigns tasks_1', 'Review work from others_1', 'Initiate meeting_1']","['Task done on time_2', 'Work accepted by others_2', 'Positive tone_1', 'Initiate conversations_1', 'Help others_2', 'Completes more tasks_1', 'Assigns tasks_1', 'Review work from others_1', 'Initiate meeting_1']","['Task done on time_1', 'Work accepted by others_1', 'Positive tone_1', 'Initiate conversations_1', 'Help others_2', 'Completes more tasks_1', 'Assigns tasks_1', 'Review work from others_1', 'Initiate meeting_1']","['Task done on time_1', 'Work accepted by others_1', 'Positive tone_0', 'Initiate conversations_1', 'Help others_2', 'Completes more tasks_1', 'Assigns tasks_1', 'Review work from others_2', 'Initiate meeting_1']","['Task done on time_1', 'Work accepted by others_1', 'Positive tone_1', 'Initiate conversations_1', 'Help others_1', 'Completes more tasks_1', 'Assigns tasks_1', 'Review work from others_1', 'Initiate meeting_1']","['Task done on time_2', 'Work accepted by others_2', 'Positive tone_1', 'Initiate conversations_1', 'Help others_2', 'Completes more tasks_1', 'Assigns tasks_1', 'Review work from others_2', 'Initiate meeting_1']","['Task done on time_1', 'Work accepted by others_1', 'Positive tone_1', 'Initiate conversations_1', 'Help others_2', 'Completes more tasks_1', 'Assigns tasks_1', 'Review work from others_2', 'Initiate meeting_1']","['Task done on time_1', 'Work accepted by others_1', 'Positive tone_1', 'Initiate conversations_1', 'Help others_2', 'Completes more tasks_1', 'Assigns tasks_1', 'Review work from others_2', 'Initiate meeting_1']","['Task done on time_2', 'Work accepted by others_2', 'Positive tone_2', 'Initiate conversations_1', 'Help others_2', 'Completes more tasks_1', 'Assigns tasks_0', 'Review work from others_1', 'Initiate meeting_1']","['Task done on time_0', 'Work accepted by others_0', 'Positive tone_1', 'Initiate conversations_1', 'Help others_2', 'Completes more tasks_1', 'Assigns tasks_1', 'Review work from others_2', 'Initiate meeting_1']","['Task done on time_1', 'Work accepted by others_1', 'Positive tone_1', 'Initiate conversations_1', 'Help others_0', 'Completes more tasks_1', 'Assigns tasks_0', 'Review work from others_1', 'Initiate meeting_1']","['Task done on time_2', 'Work accepted by others_2', 'Positive tone_0', 'Initiate conversations_0', 'Help others_2', 'Completes more tasks_1', 'Assigns tasks_0', 'Review work from others_0', 'Initiate meeting_0']","['Task done on time_2', 'Work accepted by others_2', 'Positive tone_1', 'Initiate conversations_1', 'Help others_2', 'Completes more tasks_1', 'Assigns tasks_1', 'Review work from others_1', 'Initiate meeting_1']"
4,"['Task done on time_2', 'Work accepted by others_2', 'Positive tone_2', 'Initiate conversations_1', 'Help others_0', 'Completes more tasks_1', 'Assigns tasks_1', 'Review work from others_1', 'Initiate meeting_1']","['Task done on time_2', 'Work accepted by others_2', 'Positive tone_2', 'Initiate conversations_1', 'Help others_2', 'Completes more tasks_1', 'Assigns tasks_1', 'Review work from others_2', 'Initiate meeting_1']","['Task done on time_0', 'Work accepted by others_1', 'Positive tone_1', 'Initiate conversations_1', 'Help others_2', 'Completes more tasks_1', 'Assigns tasks_1', 'Review work from others_2', 'Initiate meeting_1']","['Task done on time_1', 'Work accepted by others_1', 'Positive tone_1', 'Initiate conversations_1', 'Help others_2', 'Completes more tasks_1', 'Assigns tasks_1', 'Review work from others_0', 'Initiate meeting_1']","['Task done on time_2', 'Work accepted by others_1', 'Positive tone_1', 'Initiate conversations_1', 'Help others_2', 'Completes more tasks_1', 'Assigns tasks_1', 'Review work from others_1', 'Initiate meeting_1']","['Task done on time_1', 'Work accepted by others_1', 'Positive tone_1', 'Initiate conversations_1', 'Help others_2', 'Completes more tasks_1', 'Assigns tasks_1', 'Review work from others_1', 'Initiate meeting_1']","['Task done on time_2', 'Work accepted by others_2', 'Positive tone_0', 'Initiate conversations_1', 'Help others_2', 'Completes more tasks_1', 'Assigns tasks_1', 'Review work from others_2', 'Initiate meeting_1']","['Task done on time_1', 'Work accepted by others_1', 'Positive tone_0', 'Initiate conversations_0', 'Help others_1', 'Completes more tasks_1', 'Assigns tasks_1', 'Review work from others_1', 'Initiate meeting_1']","['Task done on time_1', 'Work accepted by others_1', 'Positive tone_2', 'Initiate conversations_1', 'Help others_2', 'Completes more tasks_1', 'Assigns tasks_1', 'Review work from others_0', 'Initiate meeting_1']","['Task done on time_1', 'Work accepted by others_1', 'Positive tone_1', 'Initiate conversations_1', 'Help others_2', 'Completes more tasks_1', 'Assigns tasks_1', 'Review work from others_1', 'Initiate meeting_1']","['Task done on time_2', 'Work accepted by others_2', 'Positive tone_2', 'Initiate conversations_0', 'Help others_2', 'Completes more tasks_1', 'Assigns tasks_1', 'Review work from others_1', 'Initiate meeting_1']","['Task done on time_0', 'Work accepted by others_1', 'Positive tone_1', 'Initiate conversations_1', 'Help others_2', 'Completes more tasks_1', 'Assigns tasks_1', 'Review work from others_0', 'Initiate meeting_1']","['Task done on time_2', 'Work accepted by others_2', 'Positive tone_1', 'Initiate conversations_1', 'Help others_2', 'Completes more tasks_1', 'Assigns tasks_1', 'Review work from others_1', 'Initiate meeting_1']"
5,"['Task done on time_2', 'Work accepted by others_2', 'Positive tone_0', 'Initiate conversations_0', 'Help others_2', 'Completes more tasks_1', 'Assigns tasks_1', 'Review work from others_1', 'Initiate meeting_1']","['Task done on time_1', 'Work accepted by others_1', 'Positive tone_1', 'Initiate conversations_1', 'Help others_0', 'Completes more tasks_1', 'Assigns tasks_1', 'Review work from others_0', 'Initiate meeting_1']","['Task done on time_2', 'Work accepted by others_2', 'Positive tone_2', 'Initiate conversations_1', 'Help others_2', 'Completes more tasks_1', 'Assigns tasks_0', 'Review work from others_1', 'Initiate meeting_1']","['Task done on time_1', 'Work accepted by others_1', 'Positive tone_0', 'Initiate conversations_0', 'Help others_2', 'Completes more tasks_1', 'Assigns tasks_1', 'Review work from others_0', 'Initiate meeting_1']","['Task done on time_2', 'Work accepted by others_2', 'Positive tone_1', 'Initiate conversations_1', 'Help others_0', 'Completes more tasks_1', 'Assigns tasks_1', 'Review work from others_2', 'Initiate meeting_1']","['Task done on time_1', 'Work accepted by others_1', 'Positive tone_1', 'Initiate conversations_1', 'Help others_2', 'Completes more tasks_1', 'Assigns tasks_1', 'Review work from others_1', 'Initiate meeting_1']","['Task done on time_1', 'Work accepted by others_1', 'Positive tone_1', 'Initiate conversations_0', 'Help others_2', 'Completes more tasks_1', 'Assigns tasks_1', 'Review work from others_1', 'Initiate meeting_1']","['Task done on time_1', 'Work accepted by others_1', 'Positive tone_1', 'Initiate conversations_1', 'Help others_2', 'Completes more tasks_1', 'Assigns tasks_1', 'Review work from others_2', 'Initiate meeting_1']","['Task done on time_1', 'Work accepted by others_1', 'Positive tone_1', 'Initiate conversations_1', 'Help others_2', 'Completes more tasks_1', 'Assigns tasks_1', 'Review work from others_2', 'Initiate meeting_1']","['Task done on time_1', 'Work accepted by others_1', 'Positive tone_1', 'Initiate conversations_1', 'Help others_2', 'Completes more tasks_1', 'Assigns tasks_1', 'Review work from others_0', 'Initiate meeting_1']","['Task done on time_1', 'Work accepted by others_1', 'Positive tone_1', 'Initiate conversations_1', 'Help others_1', 'Completes more tasks_1', 'Assigns tasks_1', 'Review work from others_2', 'Initiate meeting_1']","['Task done on time_1', 'Work accepted by others_1', 'Positive tone_1', 'Initiate conversations_1', 'Help others_1', 'Completes more tasks_1', 'Assigns tasks_0', 'Review work from others_2', 'Initiate meeting_1']","['Task done on time_0', 'Work accepted by others_0', 'Positive tone_2', 'Initiate conversations_1', 'Help others_2', 'Completes more tasks_1', 'Assigns tasks_1', 'Review work from others_2', 'Initiate meeting_1']"
6,"['Task done on time_2', 'Work accepted by others_2', 'Positive tone_2', 'Initiate conversations_1', 'Help others_1', 'Completes more tasks_1', 'Assigns tasks_1', 'Review work from others_0', 'Initiate meeting_1']","['Task done on time_2', 'Work accepted by others_2', 'Positive tone_1', 'Initiate conversations_1', 'Help others_0', 'Completes more tasks_1', 'Assigns tasks_1', 'Review work from others_1', 'Initiate meeting_1']","['Task done on time_2', 'Work accepted by others_2', 'Positive tone_2', 'Initiate conversations_1', 'Help others_2', 'Completes more tasks_1', 'Assigns tasks_1', 'Review work from others_1', 'Initiate meeting_1']","['Task done on time_2', 'Work accepted by others_2', 'Positive tone_1', 'Initiate conversations_1', 'Help others_0', 'Completes more tasks_1', 'Assigns tasks_1', 'Review work from others_2', 'Initiate meeting_1']","['Task done on time_1', 'Work accepted by others_1', 'Positive tone_1', 'Initiate conversations_1', 'Help others_2', 'Completes more tasks_1', 'Assigns tasks_1', 'Review work from others_1', 'Initiate meeting_1']","['Task done on time_1', 'Work accepted by others_1', 'Positive tone_0', 'Initiate conversations_1', 'Help others_2', 'Completes more tasks_1', 'Assigns tasks_1', 'Review work from others_1', 'Initiate meeting_1']","['Task done on time_2', 'Work accepted by others_2', 'Positive tone_1', 'Initiate conversations_1', 'Help others_2', 'Completes more tasks_1', 'Assigns tasks_1', 'Review work from others_1', 'Initiate meeting_1']","['Task done on time_2', 'Work accepted by others_2', 'Positive tone_2', 'Initiate conversations_1', 'Help others_1', 'Completes more tasks_1', 'Assigns tasks_1', 'Review work from others_1', 'Initiate meeting_1']","['Task done on time_1', 'Work accepted by others_1', 'Positive tone_0', 'Initiate conversations_1', 'Help others_2', 'Completes more tasks_1', 'Assigns tasks_1', 'Review work from others_1', 'Initiate meeting_0']","['Task done on time_1', 'Work accepted by others_1', 'Positive tone_1', 'Initiate conversations_1', 'Help others_1', 'Completes more tasks_1', 'Assigns tasks_1', 'Review work from others_0', 'Initiate meeting_1']","['Task done on time_2', 'Work accepted by others_2', 'Positive tone_1', 'Initiate conversations_1', 'Help others_2', 'Completes more tasks_1', 'Assigns tasks_1', 'Review work from others_1', 'Initiate meeting_1']","['Task done on time_2', 'Work accepted by others_1', 'Positive tone_1', 'Initiate conversations_1', 'Help others_2', 'Completes more tasks_1', 'Assigns tasks_0', 'Review work from others_1', 'Initiate meeting_1']","['Task done on time_2', 'Work accepted by others_2', 'Positive tone_0', 'Initiate conversations_1', 'Help others_1', 'Completes more tasks_1', 'Assigns tasks_1', 'Review work from others_0', 'Initiate meeting_1']"
7,"['Task done on time_1', 'Work accepted by others_1', 'Positive tone_0', 'Initiate conversations_1', 'Help others_2', 'Completes more tasks_1', 'Assigns tasks_1', 'Review work from others_2', 'Initiate meeting_1']","['Task done on time_2', 'Work accepted by others_2', 'Positive tone_0', 'Initiate conversations_1', 'Help others_2', 'Completes more tasks_1', 'Assigns tasks_1', 'Review work from others_2', 'Initiate meeting_1']","['Task done on time_1', 'Work accepted by others_1', 'Positive tone_1', 'Initiate conversations_1', 'Help others_2', 'Completes more tasks_1', 'Assigns tasks_0', 'Review work from others_0', 'Initiate meeting_0']","['Task done on time_2', 'Work accepted by others_2', 'Positive tone_1', 'Initiate conversations_1', 'Help others_2', 'Completes more tasks_1', 'Assigns tasks_1', 'Review work from others_2', 'Initiate meeting_1']","['Task done on time_2', 'Work accepted by others_2', 'Positive tone_1', 'Initiate conversations_1', 'Help others_0', 'Completes more tasks_1', 'Assigns tasks_1', 'Review work from others_2', 'Initiate meeting_1']","['Task done on time_1', 'Work accepted by others_1', 'Positive tone_2', 'Initiate conversations_1', 'Help others_1', 'Completes more tasks_1', 'Assigns tasks_1', 'Review work from others_1', 'Initiate meeting_1']","['Task done on time_2', 'Work accepted by others_2', 'Positive tone_0', 'Initiate conversations_1', 'Help others_1', 'Completes more tasks_1', 'Assigns tasks_0', 'Review work from others_1', 'Initiate meeting_0']","['Task done on time_2', 'Work accepted by others_2', 'Positive tone_2', 'Initiate conversations_1', 'Help others_0', 'Completes more tasks_1', 'Assigns tasks_1', 'Review work from others_1', 'Initiate meeting_1']","['Task done on time_1', 'Work accepted by others_2', 'Positive tone_1', 'Initiate conversations_1', 'Help others_2', 'Completes more tasks_1', 'Assigns tasks_1', 'Review work from others_0', 'Initiate meeting_1']","['Task done on time_1', 'Work accepted by others_1', 'Positive tone_0', 'Initiate conversations_1', 'Help others_0', 'Completes more tasks_1', 'Assigns tasks_1', 'Review work from others_2', 'Initiate meeting_1']","['Task done on time_2', 'Work accepted by others_2', 'Positive tone_1', 'Initiate conversations_1', 'Help others_2', 'Completes more tasks_1', 'Assigns tasks_1', 'Review work from others_1', 'Initiate meeting_1']","['Task done on time_1', 'Work accepted by others_1', 'Positive tone_2', 'Initiate conversations_1', 'Help others_2', 'Completes more tasks_1', 'Assigns tasks_1', 'Review work from others_1', 'Initiate meeting_1']","['Task done on time_1', 'Work accepted by others_1', 'Positive tone_2', 'Initiate conversations_1', 'Help others_2', 'Completes more tasks_1', 'Assigns tasks_1', 'Review work from others_2', 'Initiate meeting_1']"
8,"['Task done on time_1', 'Work accepted by others_1', 'Positive tone_0', 'Initiate conversations_1', 'Help others_2', 'Completes more tasks_1', 'Assigns tasks_1', 'Review work from others_1', 'Initiate meeting_1']","['Task done on time_0', 'Work accepted by others_0', 'Positive tone_1', 'Initiate conversations_1', 'Help others_2', 'Completes more tasks_1', 'Assigns tasks_1', 'Review work from others_1', 'Initiate meeting_1']","['Task done on time_2', 'Work accepted by others_2', 'Positive tone_1', 'Initiate conversations_0', 'Help others_2', 'Completes more tasks_1', 'Assigns tasks_1', 'Review work from others_1', 'Initiate meeting_1']","['Task done on time_1', 'Work accepted by others_1', 'Positive tone_1', 'Initiate conversations_1', 'Help others_2', 'Completes more tasks_1', 'Assigns tasks_1', 'Review work from others_2', 'Initiate meeting_1']","['Task done on time_2', 'Work accepted by others_2', 'Positive tone_1', 'Initiate conversations_1', 'Help others_2', 'Completes more tasks_1', 'Assigns tasks_1', 'Review work from others_2', 'Initiate meeting_1']","['Task done on time_1', 'Work accepted by others_1', 'Positive tone_0', 'Initiate conversations_1', 'Help others_1', 'Completes more tasks_1', 'Assigns tasks_1', 'Review work from others_2', 'Initiate meeting_1']","['Task done on time_1', 'Work accepted by others_1', 'Positive tone_1', 'Initiate conversations_1', 'Help others_2', 'Completes more tasks_1', 'Assigns tasks_1', 'Review work from others_1', 'Initiate meeting_1']","['Task done on time_2', 'Work accepted by others_2', 'Positive tone_1', 'Initiate conversations_1', 'Help others_2', 'Completes more tasks_1', 'Assigns tasks_0', 'Review work from others_1', 'Initiate meeting_1']","['Task done on time_1', 'Work accepted by others_1', 'Positive tone_2', 'Initiate conversations_1', 'Help others_2', 'Completes more tasks_1', 'Assigns tasks_1', 'Review work from others_1', 'Initiate meeting_1']","['Task done on time_2', 'Work accepted by others_2', 'Positive tone_1', 'Initiate conversations_1', 'Help others_2', 'Completes more tasks_1', 'Assigns tasks_1', 'Review work from others_1', 'Initiate meeting_1']","['Task done on time_1', 'Work accepted by others_1', 'Positive tone_1', 'Initiate conversations_1', 'Help others_2', 'Completes more tasks_1', 'Assigns tasks_1', 'Review work from others_0', 'Initiate meeting_1']","['Task done on time_1', 'Work accepted by others_0', 'Positive tone_2', 'Initiate conversations_1', 'Help others_1', 'Completes more tasks_1', 'Assigns tasks_1', 'Review work from others_2', 'Initiate meeting_1']","['Task done on time_1', 'Work accepted by others_1', 'Positive tone_1', 'Initiate conversations_1', 'Help others_2', 'Completes more tasks_1', 'Assigns tasks_1', 'Review work from others_2', 'Initiate meeting_1']"
9,"['Task done on time_1', 'Work accepted by others_1', 'Positive tone_1', 'Initiate conversations_1', 'Help others_2', 'Completes more tasks_1', 'Assigns tasks_1', 'Review work from others_1', 'Initiate meeting_1']","['Task done on time_1', 'Work accepted by others_2', 'Positive tone_1', 'Initiate conversations_1', 'Help others_1', 'Completes more tasks_1', 'Assigns tasks_1', 'Review work from others_1', 'Initiate meeting_1']","['Task done on time_2', 'Work accepted by others_2', 'Positive tone_1', 'Initiate conversations_1', 'Help others_2', 'Completes more tasks_1', 'Assigns tasks_1', 'Review work from others_1', 'Initiate meeting_1']","['Task done on time_1', 'Work accepted by others_1', 'Positive tone_1', 'Initiate conversations_1', 'Help others_2', 'Completes more tasks_1', 'Assigns tasks_1', 'Review work from others_1', 'Initiate meeting_1']","['Task done on time_2', 'Work accepted by others_2', 'Positive tone_1', 'Initiate conversations_1', 'Help others_2', 'Completes more tasks_1', 'Assigns tasks_1', 'Review work from others_1', 'Initiate meeting_1']","['Task done on time_2', 'Work accepted by others_2', 'Positive tone_2', 'Initiate conversations_1', 'Help others_2', 'Completes more tasks_1', 'Assigns tasks_1', 'Review work from others_1', 'Initiate meeting_1']","['Task done on time_2', 'Work accepted by others_2', 'Positive tone_1', 'Initiate conversations_1', 'Help others_1', 'Completes more tasks_1', 'Assigns tasks_1', 'Review work from others_2', 'Initiate meeting_1']","['Task done on time_2', 'Work accepted by others_2', 'Positive tone_1', 'Initiate conversations_1', 'Help others_1', 'Completes more tasks_1', 'Assigns tasks_1', 'Review work from others_1', 'Initiate meeting_1']","['Task done on time_1', 'Work accepted by others_1', 'Positive tone_0', 'Initiate conversations_1', 'Help others_2', 'Completes more tasks_1', 'Assigns tasks_1', 'Review work from others_0', 'Initiate meeting_1']","['Task done on time_1', 'Work accepted by others_1', 'Positive tone_1', 'Initiate conversations_0', 'Help others_2', 'Completes more tasks_1', 'Assigns tasks_1', 'Review work from others_1', 'Initiate meeting_1']","['Task done on time_2', 'Work accepted by others_2', 'Positive tone_1', 'Initiate conversations_1', 'Help others_2', 'Completes more tasks_1', 'Assigns tasks_1', 'Review work from others_2', 'Initiate meeting_1']","['Task done on time_2', 'Work accepted by others_2', 'Positive tone_2', 'Initiate conversations_1', 'Help others_2', 'Completes more tasks_1', 'Assigns tasks_1', 'Review work from others_2', 'Initiate meeting_1']","['Task done on time_1', 'Work accepted by others_1', 'Positive tone_0', 'Initiate conversations_1', 'Help others_1', 'Completes more tasks_1', 'Assigns tasks_1', 'Review work from others_1', 'Initiate meeting_0']"
