"","students","week","commitment_level","Task done on time 1","Task done on time 2","Work accepted by others 1","Work accepted by others 2","Positive tone 1","Positive tone 2","Initiate conversations 1","Initiate conversations 2","Help others 1","Help others 2","Completes more tasks 1","Completes more tasks 2","Assigns tasks 1","Assigns tasks 2","Review work from others 1","Review work from others 2","Initiate meeting 1","Initiate meeting 2"
"1",0,"0","low",0,1,0,1,1,0,1,0,0,1,1,0,1,0,1,0,1,0
"2",0,"1","low",0,1,0,1,1,0,1,0,0,1,1,0,0,0,0,1,1,0
"3",0,"2","low",0,1,0,1,0,0,1,0,0,1,1,0,1,0,0,1,1,0
"4",0,"3","low",0,1,0,1,1,0,1,0,0,1,1,0,1,0,0,1,1,0
"5",0,"4","low",1,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0
"6",0,"5","low",0,1,0,1,0,1,1,0,0,1,1,0,0,0,0,0,1,0
"7",0,"6","low",1,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0
"8",0,"7","low",1,0,1,0,0,1,1,0,0,1,1,0,1,0,0,1,1,0
"9",0,"8","low",0,1,0,1,1,0,1,0,1,0,1,0,1,0,0,1,1,0
"10",0,"9","low",0,1,0,1,0,1,1,0,0,1,1,0,1,0,0,1,1,0
"11",0,"10","low",0,1,1,0,0,0,1,0,0,1,1,0,1,0,1,0,1,0
"12",0,"11","low",1,0,0,1,1,0,1,0,0,1,1,0,1,0,0,0,1,0
"13",0,"12","low",0,1,0,1,0,1,1,0,0,1,1,0,1,0,0,1,1,0
"14",1,"0","low",1,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0
"15",1,"1","low",0,1,0,1,1,0,0,0,0,1,1,0,1,0,1,0,1,0
"16",1,"2","low",0,1,0,1,1,0,1,0,0,1,1,0,1,0,0,1,1,0
"17",1,"3","low",1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0
"18",1,"4","low",0,1,0,1,0,1,1,0,0,1,1,0,1,0,1,0,1,0
"19",1,"5","low",0,1,0,1,1,0,0,0,0,1,1,0,1,0,0,1,1,0
"20",1,"6","low",1,0,0,1,1,0,1,0,1,0,1,0,1,0,0,1,1,0
"21",1,"7","low",1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0
"22",1,"8","low",1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0
"23",1,"9","low",0,1,0,1,0,1,1,0,0,1,1,0,1,0,1,0,1,0
"24",1,"10","low",1,0,1,0,1,0,0,0,0,1,1,0,1,0,0,1,1,0
"25",1,"11","low",0,1,0,1,1,0,1,0,0,1,1,0,1,0,0,1,1,0
"26",1,"12","low",1,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,1,0
"27",2,"0","low",1,0,1,0,1,0,1,0,0,1,1,0,1,0,0,1,1,0
"28",2,"1","low",0,1,0,1,1,0,0,0,0,1,1,0,1,0,0,1,1,0
"29",2,"2","low",0,1,0,1,0,1,1,0,0,1,1,0,1,0,0,1,1,0
"30",2,"3","low",0,1,0,1,1,0,1,0,0,1,1,0,1,0,1,0,1,0
"31",2,"4","low",1,0,1,0,1,0,1,0,0,1,1,0,1,0,0,0,1,0
"32",2,"5","low",1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0
"33",2,"6","low",0,1,0,1,0,1,1,0,0,1,1,0,1,0,0,1,1,0
"34",2,"7","low",1,0,1,0,1,0,1,0,0,1,1,0,0,0,0,1,1,0
"35",2,"8","low",0,1,0,1,0,1,1,0,0,1,1,0,1,0,0,1,1,0
"36",2,"9","low",1,0,1,0,0,0,1,0,0,1,1,0,1,0,1,0,1,0
